"Source path before the run","Source path after the run","Parent of the recipe that made changes","Recipe that made changes","Estimated time saving","Cycle"
"The source path of the file before the run. `null` when a source file was created during the run.","A recipe may modify the source path. This is the path after the run. `null` when a source file was deleted during the run.","In a hierarchical recipe, the parent of the recipe that made a change. Empty if this is the root of a hierarchy or if the recipe is not hierarchical at all.","The specific recipe that made a change.","An estimated effort that a developer to fix manually instead of using this recipe, in unit of seconds.","The recipe cycle in which the change was made."
"src/main/java/heg/entity/Address.java","src/main/java/heg/entity/Address.java","org.openrewrite.config.CompositeRecipe","org.openrewrite.java.OrderImports","300","1"
"src/main/java/heg/entity/Person.java","src/main/java/heg/entity/Person.java","org.openrewrite.config.CompositeRecipe","org.openrewrite.java.OrderImports","300","1"
"src/main/java/heg/manager/AddressManager.java","src/main/java/heg/manager/AddressManager.java","org.openrewrite.config.CompositeRecipe","org.openrewrite.java.OrderImports","300","1"
"src/main/java/heg/manager/AddressManager.java","src/main/java/heg/manager/AddressManager.java","org.openrewrite.config.CompositeRecipe","org.openrewrite.java.migrate.lang.StringFormatted","60","1"
